Districte;Sexe;Edat3;P1;P2;P3;P3_1_1;P3_1_2;P3_1_3;P3_1_4;P3_1_5;P3_1_6;P3_1_7;P3_1_8;P3_1_9;P3_2_1;P3_2_2;P3_2_3;P3_2_4;P3_2_5;P3_2_6;P3_2_7;P3_2_8;P3_2_9;P3_3_1;P3_3_2;P3_3_3;P3_3_4;P3_3_5;P3_3_6;P3_3_7;P3_3_8;P3_3_9;P4A;P4B;P5;P6;P7;P8;P9_1;P9_2;P9_3;P9_4;P9_5;P9_6;P9_7;P10_1;P10_2;P10_3;P10_4;P11;P12;P13;P14;P15_ORI_1;P15_ANY_1;P15_DEST_1;P15_MOTIU_1;P15_ORI_2;P15_ANY_2;P15_DEST_2;P15_MOTIU_2;P15_ORI_3;P15_ANY_3;P15_DEST_3;P15_MOTIU_3;P15_ORI_4;P15_ANY_4;P15_DEST_4;P15_MOTIU_4;P15_ORI_5;P15_ANY_5;P15_DEST_5;P15_MOTIU_5;P16_1;P16_2;P17;P18_1;P18_2_Elèctrica;P18_2_Gasnatural;P18_2_Gasbutà;P18_2_Gasoil;P18_2_Energiasolartèrmica;P18_2_Pèl·letsdefustabriquetesllenyacarboni;P18_2_N.S;P18_2_N.C;P19_1;P19_2_Elèctrica;P19_2_Gasnatural;P19_2_Gasbutà;P19_2_Gasoil;P19_2_Energiasolartèrmica;P19_2_Pèl·letsdefustabriquetesllenyacarboni;P19_2_N.S;P19_2_N.C;P20_1;P20_2;P20_3;P20_4;P20_5;P20_6;P20_7;P21_1;P21_2;P21_3;P21_4;P21_5;P21_6;P21_7;P22;P23_1;P23_2;P23_3;P24_1;P24_2;P24_3;P24_4;P25_1;P25_2_Hipotecaolloguer;P25_2_Aigua;P25_2_Gas;P25_2_Electricitat;P25_2_Internet;P25_2_N.S;P25_2_N.C;P25_2_Altres;P26;P27_1;P27_2;P29;P30;P31_1;P32;P33;P34_1;P34_2;P35;P36_1;P36_2;P36_3;P37;PES
12;2;2,00;2;2;3;2;1;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;50;53;22;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;5;8;3;3;1;2;2;2;2;2;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;25;1;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;2;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;98;1;1;2;2;2;2;2;2;2;2;2;2000;1;4;3;1;2;1;1;3;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;2;2;4;1;9;4,00;3;#¡NULO!;3;6;1;1;1;5;1,37
12;2;2,00;2;1;2;2;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;61;64;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;5;6;9;#¡NULO!;#¡NULO!;1;2;2;2;2;2;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;19;1;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;2;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;2;1;2;2;2;2;2;2;900;4;6;8;1;2;1;2;3;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;2;2;4;1;4;4,00;5;#¡NULO!;#¡NULO!;5;0;0;2;5;1,37
12;2;1,00;1;2;3;2;1;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;23;59;58;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;5;9;98;98;1;2;2;2;2;2;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;2;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;98;98;98;1;98;2;2;2;2;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;1;2;1;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;4;1;9;3,00;5;#¡NULO!;#¡NULO!;6;2;0;1;6;1,37
12;2;3,00;2;1;2;2;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;74;76;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;5;4;8;#¡NULO!;#¡NULO!;1;2;2;2;2;2;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;21;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;3;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;2;1;2;2;2;650;4;8;10;1;1;1;1;3;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;4;1;8;5,00;5;#¡NULO!;#¡NULO!;5;0;0;0;6;1,37
12;2;2,00;2;2;3;2;1;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;56;57;24;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;5;4;8;2;2;1;2;2;2;2;2;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;28;1;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;2;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;2;2;2;2;1;2;2500;4;8;1;1;2;1;2;3;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;2;2;4;1;7;4,00;3;#¡NULO!;4;5;2;1;0;6;1,37
12;2;1,00;2;4;4;2;1;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;33;38;4;5;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;4;7;3;3;2;2;2;2;2;2;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;22;1;4;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;2;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;2;2;1;2;2;2;2;2;2;2;2;1;2;2000;4;3;1;2;2;1;2;1;0;0;1;1;0;0;0;0;4;2;2;4;5;98;2,00;1;4;#¡NULO!;4;2;0;0;99;1,37
12;2;1,00;2;4;3;2;1;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;38;41;5;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;4;6;8;3;3;2;4;1;1;1;1;1;1;2;#¡NULO!;#¡NULO!;#¡NULO!;19;6;4;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;2;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;2;2;2;2;1;2;2;2;2;2;2;1;2;1800;4;1;3;2;2;1;1;3;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;2;2;4;5;98;2,00;1;4;#¡NULO!;6;2;0;0;99;1,37
12;2;1,00;2;2;4;2;1;1;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;38;40;6;5;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;4;3;8;2;3;1;1;1;1;1;1;1;1;2;#¡NULO!;#¡NULO!;#¡NULO!;23;1;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;2;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;98;98;98;1;2;2;2;2;2;2;1;2;2200;3;4;8;1;2;1;1;3;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;2;98;4;2;99;4,00;1;3;#¡NULO!;6;2;0;0;5;1,37
12;2;2,00;2;4;2;2;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;53;55;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;4;3;9;2;2;2;2;2;2;2;2;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;23;2;4;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;2;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1900;4;7;8;1;2;1;1;1;0;0;0;1;0;0;0;0;3;2;98;4;1;8;4,00;1;4;#¡NULO!;5;2;0;0;5;1,37
12;2;3,00;2;1;1;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;74;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;5;3;10;#¡NULO!;#¡NULO!;1;1;1;1;1;1;1;1;2;#¡NULO!;#¡NULO!;#¡NULO!;98;1;1;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;2;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;2;98;98;98;2;2;2;2;2;2;2;1;2;1500;4;6;1;2;1;1;1;3;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;2;98;4;1;4;5,00;5;#¡NULO!;#¡NULO!;5;0;0;1;5;1,37
12;1;2,00;2;1;2;1;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;62;66;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;4;6;9;#¡NULO!;#¡NULO!;1;1;1;1;1;1;1;1;2;#¡NULO!;#¡NULO!;#¡NULO!;22;1;1;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;2;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;98;1;98;2;2;1;2;2;2;2;2;2;1500;4;8;6;1;2;1;2;3;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;2;2;4;1;4;4,00;1;4;#¡NULO!;2;1;0;1;5;1,37
12;2;2,00;2;2;3;2;1;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;56;58;22;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;4;6;9;3;2;1;2;2;2;2;2;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;21;1;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;2;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2500;4;1;8;1;2;1;2;3;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;2;98;4;1;9;4,00;5;#¡NULO!;#¡NULO!;6;2;0;1;5;1,37
12;2;1,00;2;4;4;2;1;1;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;33;36;4;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;4;3;8;3;3;2;2;2;2;2;2;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;20;6;4;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;2;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;2;1;2;2;2;2;2;2;2;2;1;2;2000;4;3;1;2;2;1;1;1;0;0;0;1;0;0;0;0;4;2;2;4;5;98;2,00;1;4;#¡NULO!;6;2;0;0;99;1,37
12;2;1,00;2;4;3;2;1;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;38;41;5;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;4;3;8;3;3;2;1;1;1;1;1;1;1;2;#¡NULO!;#¡NULO!;#¡NULO!;20;1;4;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;98;#¡NULO!;2;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1900;3;1;4;2;2;1;1;1;0;1;0;1;0;0;0;0;4;2;98;4;5;98;1,00;1;4;#¡NULO!;4;2;0;0;5;1,37
12;2;1,00;2;2;4;2;1;1;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;38;41;13;9;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;4;3;9;2;2;1;1;1;1;1;1;1;1;2;#¡NULO!;#¡NULO!;#¡NULO!;21;1;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;2;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;2;2;2;1;2;2600;3;4;1;2;2;1;1;3;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;4;2;98;4;1;3;4,00;1;3;#¡NULO!;5;2;0;0;99;1,37
12;2;2,00;2;4;2;2;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;53;54;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;4;9;4;3;2;1;1;1;1;1;1;1;2;#¡NULO!;#¡NULO!;#¡NULO!;24;1;4;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;3;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;2;2;2;2;2;2;700;4;1;8;1;2;1;1;3;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;1;1;4;1;8;5,00;1;4;#¡NULO!;5;2;0;0;7;1,37
12;2;3,00;2;4;1;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;74;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;5;10;5;3;2;1;1;1;1;1;1;1;2;#¡NULO!;#¡NULO!;#¡NULO!;23;1;4;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;4;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;98;1;2;2;2;1;2;2;2;2;2600;4;7;8;1;1;1;1;3;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;4;1;4;5,00;5;#¡NULO!;#¡NULO!;5;0;0;1;6;1,37
12;1;2,00;2;1;2;1;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;62;61;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;6;8;#¡NULO!;#¡NULO!;1;1;1;1;1;1;1;1;2;#¡NULO!;#¡NULO!;#¡NULO!;21;3;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;3;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;98;1;2;2;2;2;2;1;2;2;1;2;1500;4;6;1;1;2;1;2;3;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;2;2;3;1;8;5,00;1;4;#¡NULO!;2;1;0;1;5;1,37
12;2;2,00;2;1;3;2;1;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;58;60;22;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;5;9;#¡NULO!;#¡NULO!;1;2;2;2;2;2;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;21;1;1;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;2;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;2;2;2;1;2;1600;4;8;1;2;2;1;1;3;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;2;2;4;1;8;4,00;5;#¡NULO!;#¡NULO!;6;2;0;1;99;1,37
12;2;3,00;2;1;2;2;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;74;76;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;4;9;#¡NULO!;#¡NULO!;1;1;1;1;1;1;1;1;1;1;2;1;98;1;1;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;2;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;1;1;2;2;2;2;2;2;2;1;2;800;4;6;10;1;2;1;2;3;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;2;2;4;1;99;4,00;5;#¡NULO!;#¡NULO!;5;0;0;2;99;1,37
12;2;1,00;1;2;3;2;1;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;23;55;57;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;4;3;9;98;98;1;1;1;1;1;1;1;1;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;#¡NULO!;2;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;2;2;2;1;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;1;2;1;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;2;98;4;1;8;3,00;5;#¡NULO!;#¡NULO!;6;2;0;1;98;1,37
